name,X,Y,thickness,logfile
Well01,434030,5866930,2940.3,well01_GR.csv
Cast01,514000,5836000,1320.5,Cast1_GR.csv
Joll01,482600,5854820,2243.2,Jolly1_GR.csv
Well04,480000,5844000,4303.2,well04_GR.csv
Erode1,254818,5945450,-95,NA
Erode2,508084,5737540,-75,NA
