Depth,GR
-0.9144,125.6918
-1.9812,118.9337
-3.048,118.0827
-4.1148,113.367
-5.1816,117.6828
-6.2484,121.7666
-7.3152,119.9258
-8.382,106.4803
-9.4488,115.6909
-10.5156,128.8924
-11.5824,123.2609
-12.6492,102.4479
-13.716,128.2017
-14.7828,122.8713
-15.8496,122.3457
-16.9164,117.2243
-17.9832,123.7943
-19.05,130.5757
-20.1168,125.3674
-21.1836,127.611
-22.2504,126.576
-23.3172,124.2707
-24.384,126.7727
-25.4508,124.5603
-26.5176,115.6912
-27.5844,127.8652
-28.6512,126.8081
-29.718,120.5009
-30.7848,117.9326
-31.8516,131.0912
-32.9184,118.7873
-33.9852,134.9054
-35.052,113.2646
-36.1188,105.4064
-37.1856,99.8641
-38.2524,106.8612
-39.3192,124.168
-40.386,113.8363
-41.4528,119.3401
-42.5196,122.4334
-43.5864,125.5728
-44.6532,121.3994
-45.72,133.0506
-46.7868,120.6014
-47.8536,126.5692
-48.9204,110.8234
-49.9872,105.7516
-51.054,109.086
-52.1208,120.4718
-53.1876,109.6514
-54.2544,131.8159
-55.3212,114.3468
-56.388,112.4758
-57.4548,125.7027
-58.5216,130.2581
-59.5884,118.7393
-60.6552,121.2131
-61.722,109.8383
-62.7888,130.9042
-63.8556,133.874
-64.9224,133.1036
-65.9892,137.4348
-67.056,135.2598
-68.1228,126.3999
-69.1896,127.9584
-70.2564,114.2157
-71.3232,121.87
-72.39,114.6532
-73.4568,112.73
-74.5236,114.0509
-75.5904,111.3491
-76.6572,123.3507
-77.724,128.0253
-78.7908,119.1718
-79.8576,122.3504
-80.9244,119.8805
-81.9912,131.0689
-83.058,120.5373
-84.1248,115.378
-85.1916,122.9203
-86.2584,121.9811
-87.3252,128.3414
-88.392,131.4943
-89.4588,129.9225
-90.5256,123.53
-91.5924,137.8735
-92.6592,128.1353
-93.726,112.9437
-94.7928,115.4096
-95.8596,131.3063
-96.9264,130.7005
-97.9932,121.9148
-99.06,121.2091
-100.1268,130.1276
-101.1936,128.5624
-102.2604,118.7966
-103.3272,132.0188
-104.394,124.9906
-105.4608,140.4012
-106.5276,113.0504
-107.5944,98.5785
-108.6612,125.2893
-109.728,141.5441
-110.7948,136.009
-111.8616,145.6321
-112.9284,138.8197
-113.9952,138.4822
-115.062,146.5011
-116.1288,143.5966
-117.1956,132.0841
-118.2624,135.4056
-119.3292,140.6969
-120.396,128.8053
-121.4628,133.7933
-122.5296,152.4279
-123.5964,146.8606
-124.6632,125.0301
-125.73,152.6199
-126.7968,172.8694
-127.8636,169.421
-128.9304,170.6591
-129.9972,159.6885
-131.064,159.9336
-132.1308,152.0289
-133.1976,151.0349
-134.2644,141.6327
-135.3312,151.6691
-136.398,147.6763
-137.4648,146.1834
-138.5316,123.2922
-139.5984,127.9886
-140.6652,132.9112
-141.732,132.3063
-142.7988,133.2895
-143.8656,141.8143
-144.9324,138.8915
-145.9992,142.7327
-147.066,141.0872
-148.1328,142.9652
-149.1996,119.6485
-150.2664,125.4244
-151.3332,129.8085
-152.4,141.9473
-153.4668,145.8726
-154.5336,122.8032
-155.6004,118.1385
-156.6672,125.7411
-157.734,136.1379
-158.8008,135.5412
-159.8676,123.851
-160.9344,132.4394
-162.0012,139.2305
-163.068,140.0381
-164.1348,132.7861
-165.2016,116.6172
-166.2684,116.5372
-167.3352,126.2943
-168.402,138.995
-169.4688,131.6016
-170.5356,122.8857
-171.6024,121.7583
-172.6692,121.4669
-173.736,123.6865
-174.8028,126.5486
-175.8696,127.4461
-176.9364,145.1209
-178.0032,129.9203
-179.07,145.9631
-180.1368,147.4196
-181.2036,139.0855
-182.2704,146.3631
-183.3372,148.6954
-184.404,151.2969
-185.4708,152.6368
-186.5376,95.2021
-187.6044,123.7342
-188.6712,141.7776
-189.738,140.207
-190.8048,126.1322
-191.8716,128.2226
-192.9384,122.587
-194.0052,129.9357
-195.072,140.2253
-196.1388,136.0154
-197.2056,151.6646
-198.2724,156.7668
-199.3392,150.9695
-200.406,158.7201
-201.4728,154.2887
-202.5396,147.752
-203.6064,144.4552
-204.6732,140.2099
-205.74,130.2572
-206.8068,142.4063
-207.8736,149.2394
-208.9404,127.9806
-210.0072,117.2279
-211.074,121.8313
-212.1408,120.72
-213.2076,120.2623
-214.2744,116.7812
-215.3412,123.6733
-216.408,125.7608
-217.4748,130.3075
-218.5416,134.0429
-219.6084,135.7507
-220.6752,131.3555
-221.742,132.1247
-222.8088,129.6292
-223.8756,115.5734
-224.9424,111.8627
-226.0092,124.5726
-227.076,113.5776
-228.1428,116.3698
-229.2096,126.8059
-230.2764,119.3783
-231.3432,118.7511
-232.41,120.7577
-233.4768,126.1057
-234.5436,127.9154
-235.6104,118.5564
-236.6772,130.065
-237.744,135.6566
-238.8108,133.8464
-239.8776,119.0895
-240.9444,115.1729
-242.0112,102.2407
-243.078,116.2906
-244.1448,117.4429
-245.2116,121.9373
-246.2784,131.4795
-247.3452,141.4842
-248.412,119.8586
-249.4788,116.9027
-250.5456,120.9844
-251.6124,120.3614
-252.6792,134.1242
-253.746,125.5844
-254.8128,126.3374
-255.8796,125.6857
-256.9464,129.1454
-258.0132,128.9706
-259.08,117.6143
-260.1468,118.255
-261.2136,124.3247
-262.2804,125.0915
-263.3472,130.9734
-264.414,105.5822
-265.4808,130.7574
-266.5476,131.9137
-267.6144,142.8266
-268.6812,123.9439
-269.748,123.4782
-270.8148,122.6132
-271.8816,131.2055
-272.9484,134.2583
-274.0152,128.3702
-275.082,122.7291
-276.1488,121.323
-277.2156,117.8913
-278.2824,119.053
-279.3492,113.615
-280.416,132.6935
-281.4828,127.0967
-282.5496,137.0858
-283.6164,134.763
-284.6832,136.5719
-285.75,150.2224
-286.8168,118.2056
-287.8836,122.4567
-288.9504,123.5812
-290.0172,114.6872
-291.084,133.9681
-292.1508,116.9734
-293.2176,125.6321
-294.2844,134.6008
-295.3512,122.9696
-296.418,114.947
-297.4848,126.1087
-298.5516,106.349
-299.6184,118.6683
-300.6852,127.1906
-301.752,132.5428
-302.8188,133.6554
-303.8856,127.5207
-304.9524,127.7659
-306.0192,114.9655
-307.086,117.8847
-308.1528,92.7278
-309.2196,130.326
-310.2864,146.7528
-311.3532,127.3883
-312.42,122.8114
-313.4868,132.9346
-314.5536,113.8594
-315.6204,111.007
-316.6872,125.3613
-317.754,120.5875
-318.8208,122.7539
-319.8876,147.8989
-320.9544,133.5634
-322.0212,115.6307
-323.088,131.1769
-324.1548,128.8712
-325.2216,142.4631
-326.2884,126.4797
-327.3552,126.4011
-328.422,119.1587
-329.4888,121.4768
-330.5556,116.0076
-331.6224,127.6099
-332.6892,131.6459
-333.756,128.5975
-334.8228,125.2166
-335.8896,136.6543
-336.9564,117.7407
-338.0232,121.6722
-339.09,111.426
-340.1568,125.9527
-341.2236,127.6682
-342.2904,120.5541
-343.3572,119.2978
-344.424,116.2351
-345.4908,119.3674
-346.5576,117.9695
-347.6244,139.5727
-348.6912,116.6292
-349.758,126.7772
-350.8248,120.7756
-351.8916,94.9865
-352.9584,135.0755
-354.0252,126.4668
-355.092,128.7897
-356.1588,121.1396
-357.2256,120.4934
-358.2924,105.8368
-359.3592,104.6827
-360.426,121.4944
-361.4928,112.0734
-362.5596,110.2284
-363.6264,114.1498
-364.6932,128.312
-365.76,126.4417
-366.8268,121.2365
-367.8936,89.8533
-368.9604,121.4799
-370.0272,121.5102
-371.094,133.3907
-372.1608,117.338
-373.2276,132.1155
-374.2944,123.7792
-375.3612,114.9364
-376.428,117.9804
-377.4948,104.4413
-378.5616,112.0441
-379.6284,120.7034
-380.6952,130.6386
-381.762,114.7933
-382.8288,113.1429
-383.8956,120.462
-384.9624,113.9478
-386.0292,113.3785
-387.096,120.4869
-388.1628,119.4366
-389.2296,133.1412
-390.2964,111.3304
-391.3632,110.4829
-392.43,78.3443
-393.4968,123.0048
-394.5636,125.1598
-395.6304,103.5063
-396.6972,115.166
-397.764,128.7926
-398.8308,118.9295
-399.8976,125.859
-400.9644,130.8439
-402.0312,125.0445
-403.098,125.3656
-404.1648,137.3473
-405.2316,143.8356
-406.2984,129.3438
-407.3652,119.7127
-408.432,106.659
-409.4988,126.1602
-410.5656,119.8672
-411.6324,111.7946
-412.6992,130.4449
-413.766,102.2854
-414.8328,112.0363
-415.8996,113.6589
-416.9664,114.9065
-418.0332,112.3215
-419.1,131.49
-420.1668,125.4095
-421.2336,109.931
-422.3004,113.9383
-423.3672,120.9929
-424.434,124.6351
-425.5008,127.539
-426.5676,124.8044
-427.6344,121.8878
-428.7012,127.5089
-429.768,111.047
-430.8348,111.6068
-431.9016,115.1696
-432.9684,126.3601
-434.0352,112.7507
-435.102,95.5257
-436.1688,115.1361
-437.2356,116.7805
-438.3024,129.2028
-439.3692,113.3526
-440.436,113.7131
-441.5028,111.8695
-442.5696,117.46
-443.6364,124.6539
-444.7032,111.928
-445.77,122.1318
-446.8368,116.8122
-447.9036,107.2152
-448.9704,125.5134
-450.0372,112.7257
-451.104,128.6004
-452.1708,109.1197
-453.2376,124.069
-454.3044,122.1343
-455.3712,109.3444
-456.438,110.7278
-457.5048,123.1662
