Depth,GR
-179.83236,125.0289
-180.44196,126.2081
-181.05156,119.2645
-181.66116,120.2589
-182.27076,127.6851
-182.88036,114.3794
-183.48996,112.0665
-184.09956,122.1179
-184.70916,124.7811
-185.31877,115.3187
-185.92837,117.2885
-186.53797,112.4924
-187.14757,117.8158
-187.75717,111.7989
-188.36677,109.8965
-188.97637,118.0974
-189.58597,116.6425
-190.19558,96.9071
-190.80518,112.5445
-191.41478,99.6027
-192.02438,123.0844
-192.63398,118.6487
-193.24358,120.0681
-193.85318,125.1897
-194.46278,119.0267
-195.07239,117.5226
-195.68199,109.9374
-196.29159,118.3607
-196.90119,116.0081
-197.51079,114.44
-198.12039,111.7793
-198.72999,107.9222
-199.33959,111.1036
-199.94919,115.3219
-200.5588,111.0406
-201.1684,105.7815
-201.778,117.2332
-202.3876,117.7393
-202.9972,112.0974
-203.6068,111.5186
-204.2164,114.5491
-204.826,108.9559
-205.43561,108.1256
-206.04521,113.0037
-206.65481,113.6418
-207.26441,115.1181
-207.87401,114.7465
-208.48361,111.2711
-209.09321,106.2509
-209.70281,106.8585
-210.31242,111.8235
-210.92202,105.6656
-211.53162,112.8571
-212.14122,120.1675
-212.75082,121.2264
-213.36042,104.2149
-213.97002,120.3931
-214.57962,128.7971
-215.18922,122.7946
-215.79883,117.7875
-216.40843,129.5786
-217.01803,128.8622
-217.62763,127.5574
-218.23723,123.6636
-218.84683,120.2751
-219.45643,125.2981
-220.06603,113.46
-220.67564,116.6055
-221.28524,105.8865
-221.89484,118.4644
-222.50444,121.3516
-223.11404,127.675
-223.72364,119.7615
-224.33324,118.4252
-224.94284,106.6116
-225.55245,103.7794
-226.16205,108.018
-226.77165,114.3247
-227.38125,102.7191
-227.99085,132.3624
-228.60045,132.6274
-229.21005,111.085
-229.81965,119.3103
-230.42925,109.2988
-231.03886,109.112
-231.64846,118.5544
-232.25806,116.1235
-232.86766,115.4719
-233.47726,110.4532
-234.08686,110.6007
-234.69646,111.7682
-235.30606,121.1357
-235.91567,119.8689
-236.52527,107.6384
-237.13487,104.7137
-237.74447,108.2705
-238.35407,126.6422
-238.96367,116.7289
-239.57327,101.0544
-240.18287,77.5382
-240.79248,88.9866
-241.40208,75.6924
-242.01168,61.4223
-242.62128,82.0594
-243.23088,69.0643
-243.84048,77.5965
-244.45008,65.001
-245.05968,70.9047
-245.66928,76.7719
-246.27889,88.6036
-246.88849,94.0494
-247.49809,76.4996
-248.10769,81.6097
-248.71729,83.0283
-249.32689,78.3588
-249.93649,106.0039
-250.54609,123.9966
-251.1557,121.275
-251.7653,120.8146
-252.3749,120.4685
-252.9845,123.9243
-253.5941,111.0474
-254.2037,116.1814
-254.8133,117.7855
-255.4229,119.9204
-256.03251,109.6265
-256.64211,100.7667
-257.25171,112.5024
-257.86131,121.4657
-258.47091,111.7385
-259.08051,104.3796
-259.69011,115.3774
-260.29971,110.017
-260.90931,116.9894
-261.51892,117.4344
-262.12852,106.2064
-262.73812,93.8997
-263.34772,108.5443
-263.95732,112.5694
-264.56692,116.8145
-265.17652,105.943
-265.78612,82.9487
-266.39573,110.5579
-267.00533,121.537
-267.61493,124.2929
-268.22453,117.9349
-268.83413,120.4551
-269.44373,106.2164
-270.05333,103.5531
-270.66293,110.6891
-271.27254,115.9556
-271.88214,102.4108
-272.49174,85.272
-273.10134,97.2201
-273.71094,109.8963
-274.32054,121.3585
-274.93014,95.884
-275.53974,83.1457
-276.14934,116.3435
-276.75895,114.3637
-277.36855,114.3051
-277.97815,116.5552
-278.58775,116.3059
-279.19735,110.5977
-279.80695,123.8762
-280.41655,110.6514
-281.02615,106.1908
-281.63576,115.7651
-282.24536,123.4977
-282.85496,117.8694
-283.46456,110.9884
-284.07416,115.5772
-284.68376,116.9705
-285.29336,117.2298
-285.90296,117.2618
-286.51257,114.5866
-287.12217,112.6964
-287.73177,121.4814
-288.34137,116.8295
-288.95097,105.5194
-289.56057,111.6505
-290.17017,125.051
-290.77977,116.081
-291.38937,123.3262
-291.99898,118.5363
-292.60858,133.8366
-293.21818,123.7782
-293.82778,100.6118
-294.43738,99.0331
-295.04698,97.4243
-295.65658,94.8975
-296.26618,81.66
-296.87579,99.8715
-297.48539,84.3081
-298.09499,83.1286
-298.70459,91.3137
-299.31419,101.7329
-299.92379,90.2398
-300.53339,61.6299
-301.14299,103.6777
-301.7526,92.2859
-302.3622,77.7095
-302.9718,87.9509
-303.5814,91.0471
-304.191,107.7788
-304.8006,92.4447
-305.4102,86.7164
-306.0198,80.7626
-306.6294,86.2803
-307.23901,70.3544
-307.84861,92.3984
-308.45821,78.3263
-309.06781,79.2654
-309.67741,77.6529
-310.28701,110.0421
-310.89661,115.6735
-311.50621,101.3851
-312.11582,120.4976
-312.72542,117.0698
-313.33502,118.0242
-313.94462,121.7139
-314.55422,111.8916
-315.16382,91.9559
-315.77342,82.5026
-316.38302,82.8091
-316.99263,89.3353
-317.60223,83.1281
-318.21183,80.6186
-318.82143,80.7516
-319.43103,86.8383
-320.04063,63.6106
-320.65023,69.48
-321.25983,77.5115
-321.86943,74.5587
-322.47904,76.1981
-323.08864,75.9256
-323.69824,72.5937
-324.30784,68.4349
-324.91744,105.3473
-325.52704,102.967
-326.13664,84.9495
-326.74624,79.5203
-327.35585,75.1484
-327.96545,65.3769
-328.57505,69.0512
-329.18465,75.9281
-329.79425,65.9392
-330.40385,64.1292
-331.01345,56.5409
-331.62305,62.9791
-332.23266,73.2458
-332.84226,84.655
-333.45186,102.9181
-334.06146,80.2352
-334.67106,88.7336
-335.28066,89.3846
-335.89026,87.3915
-336.49986,96.597
-337.10946,91.0921
-337.71907,98.7713
-338.32867,90.5331
-338.93827,95.169
-339.54787,89.5838
-340.15747,81.2268
-340.76707,66.4066
-341.37667,60.3905
-341.98627,67.1347
-342.59588,74.3531
-343.20548,93.1385
-343.81508,118.8233
-344.42468,109.6624
-345.03428,111.3515
-345.64388,113.6396
-346.25348,109.4825
-346.86308,120.7779
-347.47269,127.0484
-348.08229,119.6605
-348.69189,117.2722
-349.30149,104.5751
-349.91109,113.7383
-350.52069,100.1058
-351.13029,82.6671
-351.73989,98.5522
-352.34949,102.0673
-352.9591,111.8023
-353.5687,111.7255
-354.1783,97.2865
-354.7879,54.3863
-355.3975,84.0443
-356.0071,104.0073
-356.6167,58.4309
-357.2263,55.9731
-357.83591,68.605
-358.44551,62.7017
-359.05511,51.9116
-359.66471,62.3376
-360.27431,66.3086
-360.88391,62.8389
-361.49351,64.9411
-362.10311,55.9781
-362.71272,52.3712
-363.32232,54.5021
-363.93192,60.1487
-364.54152,54.0161
-365.15112,54.084
-365.76072,56.8602
-366.37032,52.1678
-366.97992,56.5759
-367.58952,54.1856
-368.19913,49.5947
-368.80873,75.3545
-369.41833,75.2956
-370.02793,78.1006
-370.63753,66.3478
-371.24713,64.8535
-371.85673,63.1343
-372.46633,85.914
-373.07594,43.9158
-373.68554,49.8222
-374.29514,51.988
-374.90474,45.769
-375.51434,51.1986
-376.12394,75.8197
-376.73354,122.605
-377.34314,123.9796
-377.95275,122.9003
-378.56235,124.6623
-379.17195,122.2016
-379.78155,117.9848
-380.39115,112.5693
-381.00075,125.6954
-381.61035,120.5753
-382.21995,119.4162
-382.82955,115.3571
-383.43916,123.2626
-384.04876,124.6594
-384.65836,135.1294
-385.26796,120.702
-385.87756,120.1039
-386.48716,111.7348
-387.09676,110.3137
-387.70636,121.4882
-388.31597,141.3578
-388.92557,127.9998
-389.53517,127.3369
-390.14477,112.9969
-390.75437,94.4547
-391.36397,95.0952
-391.97357,130.0529
-392.58317,108.2705
-393.19278,119.7285
-393.80238,116.7864
-394.41198,122.1149
-395.02158,117.334
-395.63118,136.9113
-396.24078,118.0848
-396.85038,124.2617
-397.45998,117.6582
-398.06958,121.2974
-398.67919,120.9378
-399.28879,105.733
-399.89839,129.7649
-400.50799,128.4551
-401.11759,131.8127
-401.72719,118.8777
-402.33679,130.2159
-402.94639,125.1812
-403.556,121.9267
-404.1656,132.3145
-404.7752,134.6392
-405.3848,112.9264
-405.9944,101.6234
-406.604,86.378
-407.2136,118.0204
-407.8232,107.2256
-408.43281,113.5678
-409.04241,127.0561
-409.65201,130.4092
-410.26161,132.2543
-410.87121,123.0728
-411.48081,120.4659
-412.09041,124.5341
-412.70001,122.0503
-413.30961,131.8612
-413.91922,119.7205
-414.52882,115.673
-415.13842,103.062
-415.74802,118.9754
-416.35762,106.7339
-416.96722,106.8156
-417.57682,128.3245
-418.18642,115.3744
-418.79603,107.4692
-419.40563,119.0494
-420.01523,115.1624
-420.62483,117.3484
-421.23443,132.0786
-421.84403,122.1796
-422.45363,123.4198
-423.06323,121.2459
-423.67284,121.7065
-424.28244,115.6258
-424.89204,103.9443
-425.50164,114.7291
-426.11124,127.2896
-426.72084,107.9253
-427.33044,104.2779
-427.94004,130.7553
-428.54964,126.7903
-429.15925,86.3209
-429.76885,82.0015
-430.37845,91.5652
-430.98805,90.6603
-431.59765,88.1901
-432.20725,79.6537
-432.81685,67.1169
-433.42645,66.0929
-434.03606,74.4749
-434.64566,57.5383
-435.25526,59.0219
-435.86486,77.4152
-436.47446,62.2137
-437.08406,78.2491
-437.69366,77.1257
-438.30326,50.7612
-438.91287,61.8457
-439.52247,69.0882
-440.13207,68.722
-440.74167,75.9073
-441.35127,56.4145
-441.96087,56.9271
-442.57047,61.6669
-443.18007,81.8981
-443.78967,115.377
-444.39928,61.5408
-445.00888,68.8058
-445.61848,61.1084
-446.22808,54.0942
-446.83768,55.8533
-447.44728,51.9579
-448.05688,56.2942
-448.66648,49.6315
-449.27609,65.6893
-449.88569,55.4047
-450.49529,54.7861
-451.10489,72.0576
-451.71449,70.8157
-452.32409,65.102
-452.93369,53.2244
-453.54329,54.1296
-454.1529,53.8536
-454.7625,60.1804
-455.3721,46.2149
-455.9817,42.9188
-456.5913,37.5694
-457.2009,39.1564
-457.8105,43.2389
-458.4201,59.835
-459.0297,76.707
-459.63931,79.6687
-460.24891,76.7843
-460.85851,76.4044
-461.46811,86.0344
-462.07771,73.3339
-462.68731,82.2831
-463.29691,95.4819
-463.90651,102.1544
-464.51612,73.9784
-465.12572,80.6996
-465.73532,76.6343
-466.34492,61.2194
-466.95452,57.9556
-467.56412,59.3036
-468.17372,70.8814
-468.78332,70.6051
-469.39293,57.818
-470.00253,54.8002
-470.61213,47.0701
-471.22173,50.5456
-471.83133,58.5909
-472.44093,63.7111
-473.05053,62.9536
-473.66013,97.2267
-474.26973,115.228
-474.87934,67.9493
-475.48894,51.3823
-476.09854,58.6049
-476.70814,58.112
-477.31774,47.0322
-477.92734,51.348
-478.53694,53.2963
-479.14654,59.7092
-479.75615,65.5308
-480.36575,81.6173
-480.97535,62.155
-481.58495,60.5596
-482.19455,60.1688
-482.80415,58.0603
-483.41375,74.7054
-484.02335,60.9038
-484.63296,65.8202
-485.24256,67.1822
-485.85216,82.2158
-486.46176,88.0508
-487.07136,69.1117
-487.68096,76.2386
-488.29056,67.1496
-488.90016,76.6294
-489.50976,61.0892
-490.11937,59.6986
-490.72897,90.0802
-491.33857,55.2506
-491.94817,67.0039
-492.55777,72.807
-493.16737,69.0352
-493.77697,71.5049
-494.38657,75.2004
-494.99618,74.4588
-495.60578,71.1188
-496.21538,65.8448
-496.82498,57.7645
-497.43458,87.8845
-498.04418,108.8681
-498.65378,71.3762
-499.26338,71.3018
-499.87299,68.9944
-500.48259,66.0391
-501.09219,40.8095
-501.70179,61.6153
-502.31139,67.4547
-502.92099,68.9346
-503.53059,69.3756
-504.14019,69.3308
-504.74979,56.5235
-505.3594,59.9922
-505.969,63.4624
-506.5786,70.3723
-507.1882,59.6642
-507.7978,50.8914
-508.4074,51.5737
-509.017,51.5381
-509.6266,54.8397
-510.23621,77.9149
-510.84581,72.9163
-511.45541,62.9457
-512.06501,56.586
-512.67461,54.3905
-513.28421,53.0761
-513.89381,53.756
-514.50341,53.0462
-515.11302,52.6229
-515.72262,58.4334
-516.33222,54.6036
-516.94182,51.1529
-517.55142,49.39
-518.16102,53.17
-518.77062,50.4138
-519.38022,48.4039
-519.98982,50.8302
-520.59943,45.9202
-521.20903,52.1573
-521.81863,49.0204
-522.42823,44.7484
-523.03783,44.4596
-523.64743,53.597
-524.25703,77.2807
-524.86663,54.442
-525.47624,50.9286
-526.08584,56.4686
-526.69544,61.6969
-527.30504,57.7282
-527.91464,72.0612
-528.52424,78.2755
-529.13384,80.8488
-529.74344,83.4526
-530.35305,63.9932
-530.96265,53.0998
-531.57225,53.5756
-532.18185,56.3212
-532.79145,57.1432
-533.40105,127.5087
-534.01065,141.1716
-534.62025,128.1721
-535.22986,126.9529
-535.83946,135.1879
-536.44906,127.4436
-537.05866,136.2015
-537.66826,126.9112
-538.27786,160.7401
-538.88746,165.808
-539.49706,153.3298
-540.10666,140.9264
-540.71627,126.0714
-541.32587,131.1947
-541.93547,132.136
-542.54507,132.9705
-543.15467,142.6541
-543.76427,141.2616
-544.37387,126.0875
-544.98347,126.3079
-545.59308,139.4193
-546.20268,143.4213
-546.81228,130.765
-547.42188,130.6556
-548.03148,130.2686
-548.64108,118.4307
-549.25068,130.0439
-549.86028,136.3713
-550.46989,130.3406
-551.07949,129.431
-551.68909,124.6507
-552.29869,132.844
-552.90829,134.3218
-553.51789,142.2897
-554.12749,122.5049
-554.73709,110.6309
-555.34669,113.4979
-555.9563,140.1909
-556.5659,133.1692
-557.1755,113.9876
-557.7851,69.9558
-558.3947,62.6201
-559.0043,70.6616
-559.6139,65.6793
-560.2235,71.2365
-560.83311,90.9835
-561.44271,119.9934
-562.05231,113.1895
-562.66191,110.8578
-563.27151,114.9021
-563.88111,134.5043
-564.49071,128.8018
-565.10031,125.3047
-565.70992,123.7321
-566.31952,119.2894
-566.92912,142.5166
-567.53872,131.4786
-568.14832,135.726
-568.75792,131.6019
-569.36752,127.2376
-569.97712,133.4579
-570.58672,137.7524
-571.19633,123.7795
-571.80593,138.8029
-572.41553,129.4532
-573.02513,129.708
-573.63473,131.0248
-574.24433,125.8651
