Depth,GR
-317.9064,116.5955
-318.9732,117.3486
-320.04,116.7909
-321.1068,116.5919
-322.1736,116.4625
-323.2404,118.0033
-324.3072,119.3233
-325.374,117.9123
-326.4408,114.8282
-327.5076,114.368
-328.5744,112.7925
-329.6412,110.9636
-330.708,111.394
-331.7748,112.4305
-332.8416,112.2896
-333.9084,113.5082
-334.9752,112.0718
-336.042,109.4399
-337.1088,108.9093
-338.1756,106.7593
-339.2424,107.0528
-340.3092,109.4817
-341.376,112.2637
-342.4428,113.2524
-343.5096,112.5641
-344.5764,111.0815
-345.6432,110.5008
-346.71,110.3841
-347.7768,110.7985
-348.8436,113.7711
-349.9104,114.7498
-350.9772,113.4718
-352.044,112.2381
-353.1108,111.2946
-354.1776,110.3062
-355.2444,111.4383
-356.3112,113.4331
-357.378,113.8039
-358.4448,113.699
-359.5116,112.5368
-360.5784,108.2056
-361.6452,103.0594
-362.712,101.6965
-363.7788,100.9394
-364.8456,99.9609
-365.9124,100.8976
-366.9792,104.9427
-368.046,104.7665
-369.1128,102.5096
-370.1796,99.2072
-371.2464,100.6568
-372.3132,100.8857
-373.38,100.1277
-374.4468,99.3036
-375.5136,103.3833
-376.5804,102.1093
-377.6472,101.8883
-378.714,104.0675
-379.7808,107.1786
-380.8476,103.5978
-381.9144,103.7189
-382.9812,102.6311
-384.048,102.2087
-385.1148,100.8245
-386.1816,104.7884
-387.2484,106.7934
-388.3152,108.2297
-389.382,109.9311
-390.4488,113.352
-391.5156,112.8435
-392.5824,111.8905
-393.6492,111.605
-394.716,109.7605
-395.7828,106.3961
-396.8496,105.5817
-397.9164,104.6425
-398.9832,103.1558
-400.05,102.2859
-401.1168,102.7043
-402.1836,104.3548
-403.2504,106.8025
-404.3172,108.3927
-405.384,109.5157
-406.4508,111.5367
-407.5176,112.1385
-408.5844,110.2282
-409.6512,110.1241
-410.718,111.6093
-411.7848,109.8161
-412.8516,105.6127
-413.9184,104.9558
-414.9852,103.2063
-416.052,101.8295
-417.1188,101.2159
-418.1856,103.2994
-419.2524,103.6069
-420.3192,104.0132
-421.386,105.3723
-422.4528,105.542
-423.5196,107.5287
-424.5864,108.8049
-425.6532,110.2451
-426.72,108.6914
-427.7868,109.318
-428.8536,106.6901
-429.9204,105.8266
-430.9872,106.9883
-432.054,107.4617
-433.1208,108.6896
-434.1876,112.1315
-435.2544,113.2455
-436.3212,111.6296
-437.388,113.8406
-438.4548,115.1411
-439.5216,115.033
-440.5884,115.5259
-441.6552,114.0231
-442.722,105.968
-443.7888,96.1798
